,Team,AT,HASH
323,Utah,@Utah_Football,#UtahUtes
324,Utah State,@USUFootball,#UtahState
325,Utah Valley,,
326,UTEP,@UTEPFB,#MinerStrong
327,UTRGV,,
328,UTSA,@UTSAFtbl,#UTSA
329,Valparaiso,@ValpoUFootball,#Valpo
330,Vanderbilt,@VandyFootball,#Vandy
331,Vermont,,
332,Villanova,@NovaFootball,#Nova
333,Virginia,@UVAFootball,#UVAFootball
334,Virginia Commonwealth,,
335,Virginia Military,@VMI_Football,#VMI
336,Virginia Tech,@VT_Football,#Hokies
337,Wagner,@Wagner_Football,#Wagner
338,Wake Forest,@WakeFB,#WakeForest
339,Washington,@UW_Football,#GoHuskies
340,Washington State,@WSUCougarFB,#GoCougs
341,Weber State,@WeberStateFB,#WeberState
342,West Virginia,@WVUFootball,#WVU
343,Western Carolina,@WCU_FB,#WCU
344,Western Illinois,@WIUFootball,#WIU
345,Western Kentucky,@WKUFootball,#WKU
346,Western Michigan,@WMU_Football,#WMU
347,Wichita State,,
348,William & Mary,@WMTribeFootball,#GoTribe
349,Winthrop,,
350,Wisconsin,@BadgerFootball,#Badgers
351,Wofford,@Wofford_FB,#Wofford
352,Wright State,@WrightStFball,#WrightState
353,Wyoming,@Wyo_Football,#GoWyo
354,Xavier,,
355,Yale,@Yale_Football,#Yale
356,Youngstown State,@YoungstownStFB,#YSU
