Home,Away,Year,ID,Home_Team,Away_Team
22.0,4.0,1886.0,351.0,Amherst College,Tufts
12.0,0.0,1886.0,353.0,Lafayette,Pennsylvania
0.0,54.0,1886.0,354.0,Stevens,Yale
59.0,0.0,1886.0,352.0,Harvard,MIT
11.0,6.0,1886.0,356.0,Dartmouth,MIT
13.0,0.0,1886.0,355.0,Amherst College,UMass
8.0,18.0,1886.0,357.0,Tufts,Exeter
0.0,86.0,1886.0,358.0,Andover,Harvard
0.0,5.0,1886.0,359.0,Stevens,Lafayette
0.0,26.0,1886.0,360.0,Dickinson,Lehigh
55.0,9.0,1886.0,361.0,Princeton,Pennsylvania
0.0,76.0,1886.0,362.0,Williams,Yale
14.0,0.0,1886.0,364.0,Pennsylvania,Wesleyan (CT)
0.0,91.0,1886.0,363.0,Vermont,Dartmouth
0.0,0.0,1886.0,366.0,Lehigh,Stevens
5.0,6.0,1886.0,367.0,Tufts,UMass
22.0,0.0,1886.0,368.0,MIT,Amherst College
20.0,10.0,1886.0,369.0,Pennsylvania,Lafayette
136.0,0.0,1886.0,370.0,Yale,Wesleyan (CT)
70.0,0.0,1886.0,365.0,Harvard,Dartmouth
0.0,84.0,1886.0,371.0,Crescent A.C.,Yale
16.0,4.0,1886.0,373.0,Pennsylvania,Haverford
0.0,158.0,1886.0,372.0,Exeter,Harvard
26.0,8.0,1886.0,376.0,MIT,Tufts
6.0,28.0,1886.0,377.0,Pennsylvania,Princeton
2.0,15.0,1886.0,379.0,Amherst College,Williams
58.0,0.0,1886.0,378.0,Rutgers,Vineland
34.0,0.0,1886.0,374.0,Harvard,Wesleyan (CT)
12.0,0.0,1886.0,375.0,Lafayette,Lehigh
38.0,0.0,1886.0,380.0,Harvard,Harvard Alumni
65.0,0.0,1886.0,381.0,Pennsylvania,Rutgers
0.0,12.0,1886.0,382.0,Trinity (CT),Lafayette
14.0,0.0,1886.0,383.0,Lehigh,Stevens
12.0,0.0,1886.0,384.0,Princeton,Harvard
75.0,0.0,1886.0,387.0,Yale,Pennsylvania
11.0,0.0,1886.0,386.0,Williams,Amherst College
26.0,0.0,1886.0,385.0,Wesleyan (CT),Lafayette
96.0,6.0,1886.0,388.0,Pennsylvania,Vineland
10.0,26.0,1886.0,390.0,Rutgers,Lafayette
0.0,62.0,1886.0,389.0,MIT,Harvard
28.0,0.0,1886.0,391.0,Lehigh,Pennsylvania
4.0,29.0,1886.0,395.0,Harvard,Yale
6.0,76.0,1886.0,394.0,Wesleyan (CT),Princeton
18.0,4.0,1886.0,393.0,Lehigh,Haverford
58.0,0.0,1886.0,392.0,Lafayette,Stevens
0.0,4.0,1886.0,396.0,Lehigh,Lafayette
0.0,0.0,1886.0,398.0,Yale,Princeton
0.0,28.0,1886.0,397.0,Pennsylvania,Harvard
34.0,0.0,1887.0,400.0,Wesleyan (CT),Amherst College
0.0,86.0,1887.0,399.0,Tufts,Harvard
38.0,0.0,1887.0,402.0,Yale,Wesleyan (CT)
0.0,68.0,1887.0,401.0,Exeter,Harvard
26.0,0.0,1887.0,407.0,Rutgers,Stevens
5.0,0.0,1887.0,408.0,Tufts,Boston University
0.0,54.0,1887.0,409.0,Amherst College,Williams
47.0,0.0,1887.0,406.0,Princeton,Lafayette
62.0,0.0,1887.0,403.0,Harvard,MIT
24.0,0.0,1887.0,404.0,Lehigh,Swarthmore
14.0,6.0,1887.0,405.0,Pennsylvania,Pennsylvania Alumni
0.0,12.0,1887.0,410.0,Dickinson,Lafayette
46.0,0.0,1887.0,411.0,Pennsylvania,Tioga
0.0,30.0,1887.0,412.0,Rutgers,Princeton
58.0,0.0,1887.0,413.0,Wesleyan (CT),Trinity (CT)
0.0,106.0,1887.0,420.0,Wesleyan (CT),Yale
0.0,10.0,1887.0,414.0,UMass,Amherst College
0.0,52.0,1887.0,415.0,Tufts,Dartmouth
52.0,6.0,1887.0,416.0,Harvard,Williams
20.0,0.0,1887.0,417.0,Lafayette,Rutgers
18.0,0.0,1887.0,418.0,Pennsylvania,Pennsylvania Alumni
80.0,0.0,1887.0,419.0,Princeton,Lehigh
2.0,5.0,1887.0,423.0,Stevens,Rutgers
0.0,57.0,1887.0,422.0,Pennsylvania,Princeton
12.0,4.0,1887.0,421.0,Lafayette,Haverford
32.0,4.0,1887.0,424.0,Trinity (CT),UMass
20.0,0.0,1887.0,429.0,Lehigh,Dickinson
14.0,14.0,1887.0,425.0,Boston University,Trinity (CT)
4.0,4.0,1887.0,426.0,Dartmouth,Stevens
98.0,0.0,1887.0,427.0,Harvard,Amherst College
31.0,6.0,1887.0,428.0,Lafayette,Swarthmore
12.0,6.0,1887.0,430.0,Maine,Tufts
42.0,0.0,1887.0,431.0,Princeton,Pennsylvania
0.0,74.0,1887.0,432.0,Williams,Yale
52.0,0.0,1887.0,433.0,Dartmouth,Amherst College
18.0,6.0,1887.0,434.0,Wesleyan (CT),Williams
10.0,4.0,1887.0,438.0,Lehigh,Lafayette
68.0,0.0,1887.0,437.0,Harvard,Tufts
22.0,0.0,1887.0,436.0,Amherst College,Boston University
72.0,0.0,1887.0,439.0,MIT,Trinity (CT)
4.0,10.0,1887.0,435.0,Stevens,Active Football Club
0.0,50.0,1887.0,442.0,Pennsylvania,Yale
69.0,0.0,1887.0,440.0,Princeton,Wesleyan (CT)
12.0,6.0,1887.0,441.0,Williams,Rutgers
54.0,0.0,1887.0,443.0,Harvard,Exeter
13.0,10.0,1887.0,444.0,Pennsylvania,Rutgers
94.0,0.0,1887.0,450.0,Williams,Union (NY)
74.0,0.0,1887.0,451.0,Yale,Rutgers
29.0,8.0,1887.0,445.0,Exeter,Tufts
6.0,22.0,1887.0,449.0,Amherst College,Trinity (CT)
0.0,95.0,1887.0,448.0,Pennsylvania,Princeton
24.0,15.0,1887.0,447.0,MIT,Dartmouth
110.0,0.0,1887.0,446.0,Harvard,Wesleyan (CT)
0.0,68.0,1887.0,452.0,Crescent A.C.,Yale
36.0,0.0,1887.0,453.0,Pennsylvania,Haverford
26.0,0.0,1887.0,458.0,Trinity (CT),Stevens
12.0,0.0,1887.0,454.0,Harvard,Princeton
0.0,36.0,1887.0,455.0,Rutgers,Lafayette
54.0,0.0,1887.0,456.0,MIT,Amherst College
6.0,4.0,1887.0,457.0,Pennsylvania,Lehigh
22.0,0.0,1887.0,459.0,Tufts,Harvard B
76.0,4.0,1887.0,460.0,Yale,Wesleyan (CT)
0.0,20.0,1887.0,461.0,Pennsylvania,Lafayette
12.0,0.0,1887.0,467.0,Yale,Princeton
32.0,6.0,1887.0,466.0,Tufts,Andover
0.0,20.0,1887.0,465.0,Stevens,MIT
42.0,0.0,1887.0,464.0,Harvard,Pennsylvania
0.0,66.0,1887.0,463.0,Trinity (CT),Dartmouth
44.0,0.0,1887.0,462.0,Amherst College,Williston
6.0,0.0,1887.0,468.0,Lafayette,Lehigh
17.0,8.0,1887.0,472.0,Yale,Harvard
10.0,4.0,1887.0,471.0,Wesleyan (CT),Pennsylvania
0.0,36.0,1887.0,470.0,Tufts,MIT
16.0,6.0,1887.0,469.0,Amherst College,Stevens
10.0,38.0,1887.0,473.0,Cornell,Lehigh
76.0,0.0,1888.0,474.0,Yale,Wesleyan (CT)
2.0,0.0,1888.0,478.0,Stevens,Olympic A.C.
65.0,0.0,1888.0,477.0,Princeton,Lehigh
20.0,6.0,1888.0,476.0,Pennsylvania,Philadelphia All-Stars
16.0,0.0,1888.0,479.0,Trinity (CT),Amherst College
0.0,70.0,1888.0,475.0,Worcester Polytechnic,Harvard
65.0,0.0,1888.0,485.0,Yale,Rutgers
18.0,0.0,1888.0,480.0,Harvard,MIT
8.0,12.0,1888.0,481.0,Swarthmore,Lehigh
