,MAX,MIN
1742,12,0
1743,22,8
1744,24,0
1745,34,0
1746,12,0
1747,18,0
1748,44,0
1749,20,0
1750,22,6
1751,6,0
1752,18,0
1753,22,0
1754,18,0
1755,28,0
1756,6,0
1757,12,0
1758,10,0
1759,30,0
1760,18,0
1761,40,0
1762,4,4
1763,12,0
1764,10,0
1765,34,0
1766,66,0
1767,14,0
1768,50,0
1769,16,6
1770,34,0
1771,11,0
1772,16,6
1773,24,6
1774,50,0
1775,42,0
1776,36,0
1777,22,6
1778,14,0
1779,48,0
1780,16,0
1781,6,4
1782,44,0
1783,16,0
1784,28,10
1785,10,0
1786,13,4
1787,6,4
1788,16,0
1789,18,6
1790,46,6
1791,6,0
1792,39,0
1793,16,2
1794,4,0
1795,54,6
1796,12,6
1797,8,5
1798,16,0
1799,46,0
1800,12,6
1801,56,0
1802,10,0
1803,12,0
1804,10,10
1805,32,0
1806,4,0
1807,18,0
1808,40,0
1809,8,0
1810,40,6
1811,37,0
1812,12,0
1813,28,4
1814,22,0
1815,6,0
1816,16,2
1817,30,2
1818,10,0
1819,6,4
1820,6,6
1821,54,0
1822,32,0
1823,10,0
1824,6,4
1825,24,10
1826,10,4
1827,21,0
1828,12,0
1829,22,0
1830,6,4
1831,12,12
1832,24,0
1833,18,6
1834,17,0
1835,0,0
1836,23,0
1837,24,12
1838,12,0
1839,12,8
1840,8,6
1841,12,6
1842,18,6
1843,28,0
1844,18,6
1845,0,0
1846,32,0
1847,38,0
1848,26,0
1849,10,0
1850,27,0
1851,28,22
1852,40,0
1853,16,0
1854,44,0
1855,8,6
1856,24,6
1857,6,0
1858,48,5
1859,10,0
1860,18,0
1861,28,0
1862,0,0
1863,8,6
1864,24,6
1865,6,0
1866,11,5
1867,4,4
1868,10,0
1869,24,12
1870,0,0
1871,7,6
1872,12,6
1873,10,0
1874,18,6
1875,0,0
1876,32,10
1877,6,6
1878,12,0
1879,18,8
1880,2,0
1881,14,0
1882,17,0
1883,21,0
1884,22,0
1885,18,0
1886,34,0
1887,11,0
1888,45,0
1889,20,0
1890,6,0
1891,24,0
1892,33,0
1893,32,0
1894,14,0
1895,18,6
1896,26,0
1897,24,0
1898,6,0
1899,18,4
1900,10,0
1901,30,0
1902,43,0
1903,13,0
1904,38,6
1905,20,6
1906,41,4
1907,26,0
1908,24,0
1909,26,0
1910,33,0
1911,28,0
1912,38,0
1913,30,0
1914,24,0
1915,36,0
1916,16,0
1917,12,0
1918,8,0
1919,8,0
1920,24,12
1921,5,0
1922,18,0
1923,53,0
1924,57,0
1925,44,0
1926,6,0
1927,58,0
1928,28,0
1929,48,6
1930,64,0
1931,6,0
1932,20,4
1933,71,0
1934,12,9
1935,32,0
1936,26,0
1937,26,5
1938,0,0
1939,22,6
1940,15,0
1941,38,0
1942,28,0
1943,6,6
1944,42,0
1945,12,4
1946,22,0
1947,34,0
1948,24,0
1949,24,0
1950,16,0
1951,20,4
1952,39,6
1953,18,0
1954,6,5
1955,28,0
1956,36,0
1957,12,6
1958,36,0
1959,6,0
1960,6,0
1961,34,0
1962,8,0
1963,20,8
1964,18,5
1965,20,0
1966,10,0
1967,10,0
1968,4,4
1969,18,0
1970,18,14
1971,24,0
1972,24,0
1973,54,0
1974,5,0
1975,12,10
1976,12,10
1977,52,0
1978,18,0
1979,34,4
1980,22,0
1981,21,6
1982,30,0
1983,28,20
1984,20,4
1985,29,0
1986,46,0
1987,16,6
1988,4,0
1989,10,0
1990,24,9
1991,32,0
1992,22,0
1993,14,0
1994,24,5
1995,12,0
1996,30,0
1997,6,0
1998,84,0
1999,6,0
2000,40,0
2001,20,6
2002,34,0
2003,6,6
2004,18,12
2005,45,0
2006,18,10
2007,6,6
2008,39,0
2009,0,0
2010,4,0
